Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
"C2, C3, C4",0805,3,.1uF,
C5,0805,1,1uF,
"CX1, CX2",0805,2,22pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D6, D7, D8, D9",D_SOD-123,52,D_Small,
J2,PinHeader_1x6_P2.54mm_Vertical,1,AVR-ISP-6_mod,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,4PIN,
J5,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX6, MX7, MX8, MX9",SW_MX_HS_S_1u,52,MX-NoLED,
"R1, RSW1",0805,2,10k,
"R2, R3",0805,2,22,
SW1,SKQG-1155865,1,SW_PUSH,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
